"Plot Title: QuestU_Remote_Weather_Station pre c-ston"
"#","Date Time, GMT-07:00","Rain, mm (LGR S/N: 10666706, SEN S/N: 10573345, LBL: Rain)","Temp, °C (LGR S/N: 10666706, SEN S/N: 10658214, LBL: Temp)","RH, % (LGR S/N: 10666706, SEN S/N: 10658214, LBL: RH)","Wind Direction, ø (LGR S/N: 10666706, SEN S/N: 10663457, LBL: Wind Direct.)","Wind Speed, m/s (LGR S/N: 10666706, SEN S/N: 10663496, LBL: Wind Speed)","Gust Speed, m/s (LGR S/N: 10666706, SEN S/N: 10663496, LBL: Gusts)"
268,09/26/15 03:49:59  AM,0.00,8.369,95.400,151.6,0.00,1.01
269,09/26/15 04:04:59  AM,0.00,8.344,95.200,179.7,0.00,1.01
270,09/26/15 04:19:59  AM,0.00,7.895,96.800,183.9,0.00,0.00
271,09/26/15 04:34:59  AM,0.00,7.845,96.700,181.1,0.00,0.50
272,09/26/15 04:49:59  AM,0.00,7.619,96.900,139.0,0.00,0.50
273,09/26/15 05:04:59  AM,0.00,7.795,96.200,151.6,0.00,1.76
274,09/26/15 05:19:59  AM,0.00,7.544,96.800,171.3,0.00,0.25
275,09/26/15 05:34:59  AM,0.00,7.645,96.700,182.5,0.00,1.01
276,09/26/15 05:49:59  AM,0.00,8.020,95.400,171.3,0.00,1.51
277,09/26/15 06:04:59  AM,0.00,7.419,96.800,196.5,0.00,1.01
278,09/26/15 06:19:59  AM,0.00,7.745,96.500,183.9,0.00,1.51
279,09/26/15 06:34:59  AM,0.00,7.945,95.600,198.0,0.00,1.01
280,09/26/15 06:49:59  AM,0.00,8.295,93.600,198.0,0.00,0.25
281,09/26/15 07:04:59  AM,0.00,8.444,92.300,210.6,0.00,1.01
282,09/26/15 07:19:59  AM,0.00,8.145,93.800,171.3,0.00,0.25
283,09/26/15 07:34:59  AM,0.00,8.095,95.500,151.6,0.00,0.50
284,09/26/15 07:49:59  AM,0.00,8.494,93.600,151.6,0.00,0.76
285,09/26/15 08:04:59  AM,0.00,8.693,95.200,151.6,0.00,0.25
286,09/26/15 08:19:59  AM,0.00,9.064,93.900,151.6,0.00,0.00
287,09/26/15 08:34:59  AM,0.00,9.608,93.700,153.0,0.00,0.76
288,09/26/15 08:49:59  AM,0.00,10.369,90.200,151.6,0.00,0.76
289,09/26/15 09:04:59  AM,0.00,10.858,89.500,143.2,0.00,0.00
290,09/26/15 09:19:59  AM,0.00,10.051,93.300,143.2,0.00,0.00
291,09/26/15 09:34:59  AM,0.40,9.583,95.900,144.6,0.00,0.25
292,09/26/15 09:49:59  AM,0.00,9.583,97.600,101.1,0.00,2.27
293,09/26/15 10:04:59  AM,0.00,10.247,97.000,89.9,0.00,0.00
294,09/26/15 10:19:59  AM,0.00,11.346,94.000,78.6,0.00,0.25
295,09/26/15 10:34:59  AM,0.00,12.703,90.600,313.1,0.00,1.26
296,09/26/15 10:49:59  AM,0.00,12.920,88.500,301.8,0.25,1.26
297,09/26/15 11:04:59  AM,0.00,12.437,89.000,322.9,0.00,2.27
298,09/26/15 11:19:59  AM,0.00,12.630,90.000,348.2,0.00,1.01
299,09/26/15 11:34:59  AM,0.00,12.074,89.500,23.9,0.00,1.26
300,09/26/15 11:49:59  AM,0.00,12.823,90.300,9.8,0.00,1.26
301,09/26/15 12:04:59  PM,0.00,13.425,87.600,314.5,0.00,1.26
302,09/26/15 12:19:59  PM,0.00,13.281,86.800,351.0,0.00,1.01
303,09/26/15 12:34:59  PM,0.00,14.577,82.800,311.7,0.25,1.76
304,09/26/15 12:49:59  PM,0.00,15.223,78.600,342.6,0.25,2.27
